,Lunes,Martes,Miércoles,Jueves,Lunes,Martes,Miércoles,Jueves,Lunes,Martes,Miércoles,Jueves,Lunes,Martes,Miércoles,Jueves,Lunes
,03/01/2022,04/01/2022,05/01/2022,06/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,31/01/2022
prisciliano elizondo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
puerta de hierro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
puerta del sol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
puerto castilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
puerto vallarta,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rangel frias,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,1,2
real de cumbres,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reforma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
revolucion,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
rio aguanaval,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
rio nazas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rio panuco,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
rodrigo gomez,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
rogelio cantu,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
ruiz cortines,0,1,0,2,0,2,2,1,1,2,0,1,1,0,0,0,1
ruperto de leon cavazos,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
san jose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sayula,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
serafin peña,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sevilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sierra alta,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
sierra de ascotan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
simon bolivar,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
supremos poderes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tapia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tenochtitlan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tepatitlan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tlatelolco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
treviño,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
venustiano carranza,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
villagran,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
zaragoza,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
zempoala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zuazua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
